"Variable","Variable Number","Topic","Topic Number","Subtopic","Subtopic Number","Survey Years","Availability","Description","Table Name","Type","Edit Flag Variable","Imputation Strategy","Response Codes","Question Text","Instrument Variable Name(s)","Disclosure","Conditions in Universe","User Notes"
"ACPRIMARY",1,"Equipment and Appliances",4,"Cooling",2,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Type of primary air conditioning","HOUSEHOLD","Character","JACPRIMARY","Coming soon","01: Electric powered central air conditioning system||02: Piped gas powered central air conditioning system||03: Liquefied petroleum gas powered central air conditioning system||04: Other fuel source powered air conditioning system||05: 1 room air conditioner||06: 2 room air conditioners||07: 3 room air conditioners||08: 4 room air conditioners||09: 5 room air conditioners||10: 6 room air conditioners||11: 7 or more room air conditioners||12: No air conditioning","See User Notes","See User Notes","None","INTSTATUS in ('1' '2' '3')","ACPRIMARY and ACSECNDRY are determined using multiple questions including AIRSYS1 (Does the heat pump provide air conditioning to your home?) or AIRSYS2 (Does your apartment have central air conditioning?), OARSYS1 (Unit's heat pump provides air conditioning) or OARSYS2 (Does your home have another central air conditioning system?), AIR (Do you use any room air conditioners?), and NUMAIR (How many?). It also incorporates AFUEL and OAFUEL, which ask what type of fuel the central and secondary central air conditioning systems use."
"ACSECNDRY",2,"Equipment and Appliances",4,"Cooling",2,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2015 National","PUF","Type of secondary air conditioning","HOUSEHOLD","Character","JACSECNDRY","Coming soon","01: Secondary electric powered central air conditioning system||02: Secondary piped gas powered central air conditioning system||03: Secondary liquefied petroleum gas powered central air conditioning system||04: Secondary other fuel source powered air conditioning system||05: Secondary 1 room air conditioner||06: Secondary 2 room air conditioners||07: Secondary 3 room air conditioners||08: Secondary 4 room air conditioners||09: Secondary 5 room air conditioners||10: Secondary 6 room air conditioners||11: Secondary 7 or more room air conditioners||12: No secondary air conditioning","See User Notes","See User Notes","None","INTSTATUS in ('1' '2' '3')","See user notes for ACPRIMARY."
"HOTWATER",1,"Equipment and Appliances",4,"Water and Sewer",3,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Type of hot water system","HOUSEHOLD","Character","JHOTWATER","Coming soon","1: Has running hot water with electric water heater||2: Has running hot water with piped gas water heater||3: Has running hot water with liquefied petroleum gas water heater||4: Has running hot water with fuel oil water heater||5: Has running hot water, heated directly with a solar hot water system||6: Has running hot water, water heater uses other fuel source||7: No hot and cold running water","See User Notes","See User Notes","None","INTSTATUS in ('1' '2' '3')","HOTWATER is determined using multiple items including WFUELQ (What type of fuel is used most to heat water?), SUNFUEL (How do you use solar energy to heat your water? Directly, indirectly, or other),SUNFUELSP (Specify other way sun heats water), HOTPIP1 (Does your full bath contain both hot and cold water?), HOTPIP2 for units with one or more half baths and no reported full baths (Does your unit contain both hot and cold water?), HOTPIPP (Is there both hot and cold water anywhere in your home?) for units that have one full bath without hot and cold running water."
"SEWTYPE",2,"Equipment and Appliances",4,"Water and Sewer",3,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Type of sewer system","HOUSEHOLD","Character","JSEWTYPE","Coming soon","01: Public sewer||02: Septic tank / cesspool: standard septic tank and subsurface leach field||03: Septic tank / cesspool: uses a pump to distribute wastewater||04: Septic tank / cesspool: elevated above natural soil surface||05: Septic tank / cesspool: applies treated wastewater||06: Septic tank / cesspool: other type||07: Chemical toilet||08: Outhouse or privy||09: Other||10: None||M or -9: Not reported","See User Notes","See User Notes","None","INTSTATUS in ('1' '2' '3')","SEWTYPE is determined using PUBSEWQ (Is your home connected to a public sewer?), SEWDISQ (What means of sewage disposal does your home have?) for units that report not being connected to a public sewer, and SEWDISTP (What type of septic tank or cesspool system do you have?), which is asked for units that report using a septic tank or cesspool."
"SEWUSERS",3,"Equipment and Appliances",4,"Water and Sewer",3,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Number of units connected to septic tank or cesspool","HOUSEHOLD","Character","JSEWUSERS","Coming soon","1: 1||2: 2 to 5||3: 6 or more||N or -6: Not applicable","How many homes are connected to the septic tank or cesspool?","SEWDUS","None","INTSTATUS in ('1' '2' '3') and SEWTYPE in ('02' '03' '04' '05' '06')",
"WATSOURCE",4,"Equipment and Appliances",4,"Water and Sewer",3,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Source of water for unit","HOUSEHOLD","Character","JWATSOURCE","Coming soon","1: Public||2: Well||3: Other","Does most of the water for this housing unit come from a water system, either public or private, from an individual well, or from some other source?","WATERQ","None","INTSTATUS in ('1' '2' '3')",
"CELLPHONE",1,"Equipment and Appliances",4,"Appliances",4,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro","PUF","Number of adults with cell phones for personal use","HOUSEHOLD","Numeric","JCELLPHONE","Coming soon","0 : 99: Number of cellphones in the household||M or -9: Not reported||N or -6: Not applicable","How many adults age 18 and over in this household have a cell phone for personal use?","CELLPHONE","None","INTSTATUS = '1'",
"COOKFUEL",2,"Equipment and Appliances",4,"Appliances",4,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Type of fuel used most for cooking","HOUSEHOLD","Character","JCOOKFUEL","Coming soon","1: Electric||2: Piped gas||3: Liquefied petroleum gas||4: Other||5: None","See User Notes","See User Notes","None","INTSTATUS in ('1' '2' '3')","COOKFUEL is primarily determined using CFUEL (What fuel is used MOST for cooking--electricity, gas or something else?), but if the respondent reports ""gas,"" GASPI2/GASPIP (Is the unit's heating fuel from underground pipes or bottled gas?) is used to distinguish whether the unit uses LP or Piped Gas."
"COOKTYPE",3,"Equipment and Appliances",4,"Appliances",4,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Type of cooking equipment","HOUSEHOLD","Character","JCOOKTYPE","Coming soon","1: Cooking stove or range with oven, in working order||2: Built-in cooking burners, no oven in working order||3: Has microwave, but no oven or burners||4: No working cooking equipment","See User Notes","See User Notes","None","INTSTATUS in ('1' '2' '3')","COOKTYPE is determined using multiple items including COOK, BURNER, and OVEN."
"DISHWASH",4,"Equipment and Appliances",4,"Appliances",4,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating unit has a working dishwasher","HOUSEHOLD","Character","JDISHWASH","Coming soon","1: Yes||2: No","Does your unit have a dishwasher in working order?","DISHQ","None","INTSTATUS in ('1' '2' '3')",
"DRYER",5,"Equipment and Appliances",4,"Appliances",4,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Type of clothes dryer","HOUSEHOLD","Character","JDRYER","Coming soon","1: Working electric power clothes dryer||2: Working piped gas powered clothes dryer||3: Working liquefied petroleum gas clothes dryer||4: Working other fuel source powered clothes dryer||5: Unit does not have a working clothes dryer","See User Notes","See User Notes","None","INTSTATUS in ('1' '2' '3')","DRYER is determined using DRYQ (Does your unit have a clothes dryer in working order?) and DFUELQ (What type of fuel does the dryer use?) but if the respondent reports using ""gas"" GASPI2/GASPIP (is the unit's heating fuel from Is it from underground pipes or bottled gas) is used to distinguish whether the unit uses LP or Piped Gas."
"FRIDGE",6,"Equipment and Appliances",4,"Appliances",4,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating unit has a working refrigerator","HOUSEHOLD","Character","JFRIDGE","Coming soon","1: Yes||2: No","Does your unit have a refrigerator in working order?","REFRQ","None","INTSTATUS in ('1' '2' '3')",
"KITCHSINK",7,"Equipment and Appliances",4,"Appliances",4,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating unit has a kitchen sink","HOUSEHOLD","Character","JKITCHSINK","Coming soon","1: Yes||2: No","Does this housing unit have a kitchen sink?","SINKQ","None","INTSTATUS in ('1' '2' '3')",
"LANDLINE",8,"Equipment and Appliances",4,"Appliances",4,"2021 National, 2021 Metro, 2019 National, 2019 Metro","PUF","Flag indicating landline telephone in home","HOUSEHOLD","Character","JLANDLINE","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Is there a landline telephone in this house? Do not count cellular phones, or any phone line that is used only for a computer or fax machine.","TELAND","None","INTSTATUS = '1'",
"MONOXIDE",9,"Equipment and Appliances",4,"Appliances",4,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro","PUF","Flag indicating unit has a working carbon monoxide detector","HOUSEHOLD","Character","JMONOXIDE","Coming soon","1: Yes||2: No||M or -9: Not reported","Do you have a working carbon monoxide detector inside your home?","MONOX","None","INTSTATUS in ('1' '2' '3')",
"WASHER",10,"Equipment and Appliances",4,"Appliances",4,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating unit has a working washing machine","HOUSEHOLD","Character","JWASHER","Coming soon","1: Yes||2: No","Does your unit have a washing machine in working order?","WASHQ","None","INTSTATUS in ('1' '2' '3')",
"FUSEBLOW",1,"Housing Problems",5,"Electrical Problems",1,"2021 National, 2021 Metro, 2019 National, 2019 Metro","PUF","Number of times fuses blown or circuit breakers tripped in last 3 months","HOUSEHOLD","Character","JFUSEBLOW","Coming soon","1: 1 fuse / breaker blown in the last 3 months||2: 2 fuses / breakers blown in the last 3 months||3: 3 fuses / breakers blown in the last 3 months||4: 4 or more fuses / breakers blown in the last 3 months||5: No fuses / breakers blown in the last 3 months||N or -6: Not applicable","See User Notes","See User Notes","None","INTSTATUS = '1' and NOWIRE <> '3'","FUSEBLOW is determined using IFBLOW (Have any fuses blown or circuit breakers tripped in the last 3 months?) and NUMBLOW (How many times in the last 3 months?). AHS began imputing IFBLOW and NUMBLOW in 2017. While FUSEBLOW is not imputed directly, its components are and it's edit flag indicates imputation where one or more of its component variables are imputed."
"NOWIRE",2,"Housing Problems",5,"Electrical Problems",1,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating electrical wiring concealed by walls","HOUSEHOLD","Character","JNOWIRE","Coming soon","1: Concealed||2: Exposed||3: No electrical wiring||N or -6: Not applicable","Is all the electrical wiring in the finished areas of this unit either concealed inside walls or under protective metal or plastic coverings?","NOWIREQ","None","INTSTATUS in ('1' '2' '3')",
"PLUGS",3,"Housing Problems",5,"Electrical Problems",1,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating every room has working electrical plug","HOUSEHOLD","Character","JPLUGS","Coming soon","1: Yes||2: No||N or -6: Not applicable","Does every room have an electrical outlet or wall plug that works?","PLUGSQ","None","INTSTATUS in ('1' '2' '3') and NOWIRE <> '3'",
"COLD",1,"Housing Problems",5,"Heating Problems",2,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating unit was uncomfortably cold for 24 hours or more last winter","HOUSEHOLD","Character","JCOLD","Coming soon","1: Yes||2: No||3: Household did not live in the unit last winter||M or -9: Not reported||N or -6: Not applicable","Last winter, for any reason, was your unit so cold for 24 hours or more that you were uncomfortable?","FREEZEQ","None","INTSTATUS = '1' and HEATTYPE <> '13'","This question is only asked if the respondent replied that they had heating equipment and lived in the home during the winter. AHS began imputing COLD in 2017."
"COLDCOST",2,"Housing Problems",5,"Heating Problems",2,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating unit was uncomfortably cold for 24 hours or more last winter due to cost of heating","HOUSEHOLD","Character","JCOLDCOST","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","What was the reason (why housing unit was so cold for 24 hours or more that you were uncomfortable)? Mark all that apply","OTHCOLD2","None","INTSTATUS = '1' and COLD = '1' and COLDEQ in ('1' '2')","This question is only asked if the respondent replied ""yes"" to OTHCLD (Last winter, for any reason, was your housing unit so cold for 24 hours or more that you were uncomfortable?), and they indicated that the unit was cold for reasons other than the main heating equipment breaking down."
"COLDEQ",3,"Housing Problems",5,"Heating Problems",2,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating unit as uncomfortably cold for 24 hours or more last winter because the main heating equipment broke down","HOUSEHOLD","Character","JCOLDEQ","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Was that because the main heating equipment broke down?","IFCOLD","None","INTSTATUS = '1' and COLD = '1'","This question is only asked if the respondent replied ""yes"" to COLD (Last winter, for any reason, was your housing unit so cold for 24 hours or more that you were uncomfortable?). AHS began imputing COLDEQ in 2017."
"COLDEQFREQ",4,"Housing Problems",5,"Heating Problems",2,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Number of times main heating equipment broke down for 6 hours or more (provided that main heating equipment broke down and unit was uncomfortably cold for 24 hours or more last winter)","HOUSEHOLD","Numeric","JCOLDEQFREQ","Coming soon","0: Never broke down for 6 hours||1 : 7: 1 to 7 breakdowns lasting 6 hours or more||8: 8 or more breakdowns lasting 6 hours or more||M or -9: Not reported||N or -6: Not applicable","How many times did main heating equipment break down for 6 hours or more?","NUMCOLD","None","INTSTATUS = '1' and COLDEQ = '1'","This question is only asked if the respondent replied ""yes"" to COLDEQ (meaning they were uncomfortably cold because the heating equipment had broken down). AHS began imputing COLDEQFREQ in 2017."
"COLDHTCAP",5,"Housing Problems",5,"Heating Problems",2,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating unit was uncomfortably cold for 24 hours or more last winter due to inadequate heating capacity","HOUSEHOLD","Character","JCOLDHTCAP","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","What was the reason (why housing unit was so cold for 24 hours or more that you were uncomfortable)? Mark all that apply","OTHCOLD2","None","INTSTATUS = '1' and COLD = '1' and COLDEQ in ('1' '2')","This question is only asked if the respondent replied ""yes"" to OTHCLD (Last winter, for any reason, was your housing unit so cold for 24 hours or more that you were uncomfortable?), and they indicated that the unit was cold for reasons other than the main heating equipment breaking down."
"COLDINSUL",6,"Housing Problems",5,"Heating Problems",2,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating unit was uncomfortably cold for 24 hours or more last winter due to inadequate insulation","HOUSEHOLD","Character","JCOLDINSUL","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","What was the reason (why housing unit was so cold for 24 hours or more that you were uncomfortable)? Mark all that apply","OTHCOLD2","None","INTSTATUS = '1' and COLD = '1' and COLDEQ in ('1' '2')","This question is only asked if the respondent replied ""yes"" to OTHCLD (Last winter, for any reason, was your housing unit so cold for 24 hours or more that you were uncomfortable?), and they indicated that the unit was cold for reasons other than the main heating equipment breaking down."
"COLDOTHER",7,"Housing Problems",5,"Heating Problems",2,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating unit was uncomfortably cold for 24 hours or more last winter because of some other reason","HOUSEHOLD","Character","JCOLDOTHER","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","What was the reason (why housing unit was so cold for 24 hours or more that you were uncomfortable)? Mark all that apply","OTHCOLD2","None","INTSTATUS = '1' and COLD = '1' and COLDEQ in ('1' '2')","This question is only asked if the respondent replied ""yes"" to OTHCLD (Last winter, for any reason, was your housing unit so cold for 24 hours or more that you were uncomfortable?), and they indicated that the unit was cold for reasons other than the main heating equipment breaking down."
"COLDUTIL",8,"Housing Problems",5,"Heating Problems",2,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating unit was uncomfortably cold for 24 hours or more last winter due to utility interruption","HOUSEHOLD","Character","JCOLDUTIL","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","What was the reason (why housing unit was so cold for 24 hours or more that you were uncomfortable)? Mark all that apply","OTHCOLD2","None","INTSTATUS = '1' and COLD = '1' and COLDEQ in ('1' '2')","This question is only asked if the respondent replied ""yes"" to OTHCLD (Last winter, for any reason, was your housing unit so cold for 24 hours or more that you were uncomfortable?), and they indicated that the unit was cold for reasons other than the main heating equipment breaking down."
"NOTOIL",1,"Housing Problems",5,"Plumbing Problems",3,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating if unit had any toilet breakdowns in last 3 months","HOUSEHOLD","Character","JNOTOIL","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","See User Notes","See User Notes","None","INTSTATUS = '1' and BATHROOMS not in ('07' '10' '11' '13' )","NOTOIL is determined using IFTLT1 (Was there any time in the past year when your toilet was broken, or stopped up, or otherwise not working so you couldn't use it?) and IFTLT2 (Did that happen at all within the past 3 months?). This question is only asked if the respondent replied that they had a flush toilet. AHS began imputing NOTOIL in 2017."
"NOTOILFREQ",2,"Housing Problems",5,"Plumbing Problems",3,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Number of toilet breakdowns within last 3 months that lasted 6 hours or more","HOUSEHOLD","Numeric","JNOTOILFREQ","Coming soon","0: Never broke down for 6 hours||1 : 7: 1 to 7 breakdowns lasting 6 hours or more||8: Eight or more breakdowns lasting 6 hours or more||M or -9: Not reported||N or -6: Not applicable","See User Notes","See User Notes","None","INTSTATUS = '1' and NOTOIL = '1'","NOTOILFREQ is determined using NUM3TLT (How many times in the last 3 months was the toilet not working?) and NUMTLT (How many of those times was it not working for 6 hours or more?). AHS began imputing NUM3TLT and NUMTLT in 2017. While NOTOILFREQ is not imputed directly, its components are and it's edit flag indicates imputation where one or more of its component variables are imputed."
"NOWAT",3,"Housing Problems",5,"Plumbing Problems",3,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating if unit was completely without running water in the last 3 months","HOUSEHOLD","Character","JNOWAT","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Was your home ever completely without running water in the past 3 months?","IFDRY","None","INTSTATUS = '1' and HOTWATER <> '7' and BATHROOMS in ('03' '04' '05' '06')","This question is only asked if the respondent replied that the unit has both hot and cold water or has two or more bathrooms."
"NOWATFREQ",4,"Housing Problems",5,"Plumbing Problems",3,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Number of times unit was completely without running water in the last 3 months","HOUSEHOLD","Character","JNOWATFREQ","Coming soon","0: Never broke down for 6 hours||1 : 7: 1 to 7 breakdowns lasting 6 hours or more||8: Eight or more breakdowns lasting 6 hours or more||M or -9: Not reported||N or -6: Not applicable","How many times was running water not available for 6 hours or more (in the past 3 months)?","NUMDRY","None","INTSTATUS = '1' and NOWAT = '1'","NOWATFREQ is determined using IFDRY (Have you been completely without running water in the past 3 months?) and NUMDRY (How many of these lasted 6 hours or more?)."
"SEWBREAK",5,"Housing Problems",5,"Plumbing Problems",3,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Number of sewer breakdowns within last 3 months that last 6 hours or more","HOUSEHOLD","Character","JSEWBREAK","Coming soon","1: One breakdown in the last 3 months for 6 hours or more||2: Two breakdowns in the last 3 months for 6 hours or more||3: Three breakdowns in the last 3 months for 6 hours or more||4: Four or more breakdowns in last three months for 6 hours or more||5: Sewage system broke down in the last 3 months, but never for 6 hours or more||6: No breakdowns in the last 3 months||N or -6: Not applicable","See User Notes","See User Notes","None","INTSTATUS = '1' and SEWTYPE in ('01' '02' '03' '04' '05' '06')","SEWBREAK is determined using IFSEW (Did the sewage system break down in the last 3 months?) and NUMSEW ( How many of these breakdowns lasted 6 hours or more?)."
"ROACH",1,"Housing Problems",5,"Pests",4,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Number of times there were signs of live or dead cockroaches in last 12 months","HOUSEHOLD","Character","JROACH","Coming soon","1: Seen daily in the last 12 months||2: Seen weekly in the last 12 months||3: Seen monthly in the last 12 months||4: Seen a few times in the last 12 months||5: No signs in the last 12 months||N or -6: Not applicable","See User Notes","See User Notes","None","INTSTATUS = '1'","ROACH is determined using EROACH (Have you ever seen signs of live or dead cockroaches or cockroach feces inside your home? ), M12ROACH (Was that in the last 12 months?) and ROACHFRQ (How often have you seen this evidence in your home in the last 12 months?)."
"RODENT",2,"Housing Problems",5,"Pests",4,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Number of times there was signs of rodents in last 12 months","HOUSEHOLD","Character","JRODENT","Coming soon","1: Seen daily in the last 12 months||2: Seen weekly in the last 12 months||3: Seen monthly in the last 12 months||4: Seen a few times in the last 12 months||5: No signs in the last 12 months||N or -6: Not applicable","See User Notes","See User Notes","None","INTSTATUS = '1'","RODENT is determined using EVROD (Have you ever seen signs of mice or rats inside your home?), M12ROD (Was that in the last 12 months?) and RATFREQ (How often have you seen this evidence in your home in the last 12 months?)."
"FLOORHOLE",1,"Housing Problems",5,"Structural Problems",5,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating floor has holes","HOUSEHOLD","Character","JFLOORHOLE","Coming soon","1: Yes||2: No","Are any holes in the floors big enough for someone to catch their foot on?","HOLES","None","INTSTATUS in ('1' '2' '3')",
"FNDCRUMB",2,"Housing Problems",5,"Structural Problems",5,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating foundation has holes, cracks, or crumbling","HOUSEHOLD","Character","JFNDCRUMB","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Are there holes or open cracks or crumbling in the foundation of this housing unit--that is, in the base on which the unit stands?","ECRUMB","None","INTSTATUS in ('1' '2' '3') and BLD in ('01' '02' '03')",
"PAINTPEEL",3,"Housing Problems",5,"Structural Problems",5,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating interior area of peeling paint larger than 8 x 11","HOUSEHOLD","Character","JPAINTPEEL","Coming soon","1: Yes||2: No","See User Notes","BIGP2","None","INTSTATUS in ('1' '2' '3')","Respondents were first asked BIGP1 (Does this unit have any areas of peeling paint or broken plaster?), and if they replied yes, were then asked BIGP2 (Are any of these areas bigger than 8 inches by 11 inches?)."
"ROOFHOLE",4,"Housing Problems",5,"Structural Problems",5,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating roof has holes","HOUSEHOLD","Character","JROOFHOLE","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Does the roof have any holes?","EHOLER","None","INTSTATUS in ('1' '2' '3') and BLD in ('01' '02' '03' '10')",
"ROOFSAG",5,"Housing Problems",5,"Structural Problems",5,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating roof's surface sags or is uneven","HOUSEHOLD","Character","JROOFSAG","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Does the roof's surface sag or appear uneven?","ESAGR","None","INTSTATUS in ('1' '2' '3') and BLD in ('01' '02' '03' '10')",
"ROOFSHIN",6,"Housing Problems",5,"Structural Problems",5,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating roof has missing shingles or other roofing materials","HOUSEHOLD","Character","JROOFSHIN","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Does the roof have missing shingles or other missing roofing materials?","EMISSR","None","INTSTATUS in ('1' '2' '3') and BLD in ('01' '02' '03' '10')",
"WALLCRACK",7,"Housing Problems",5,"Structural Problems",5,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating inside walls or ceilings have open holes or cracks","HOUSEHOLD","Character","JWALLCRACK","Coming soon","1: Yes||2: No","In the inside walls or ceilings of this housing unit, are there any open holes or cracks wider than the edge of a dime?","CRACKS","None","INTSTATUS in ('1' '2' '3')",
"WALLSIDE",8,"Housing Problems",5,"Structural Problems",5,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating outside walls have missing siding, bricks, or other missing wall materials","HOUSEHOLD","Character","JWALLSIDE","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Do the outside walls have any missing siding, bricks, or other missing wall materials?","EMISSW","None","INTSTATUS in ('1' '2' '3') and BLD in ('01' '02' '03' '10')",
"WALLSLOPE",9,"Housing Problems",5,"Structural Problems",5,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating outside walls slope, lean, buckle, or slant","HOUSEHOLD","Character","JWALLSLOPE","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Do the outside walls slope, lean, buckle, or slant?","ESLOPW","None","INTSTATUS in ('1' '2' '3') and BLD in ('01' '02' '03' '10')",
"WINBOARD",10,"Housing Problems",5,"Structural Problems",5,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating windows are boarded up","HOUSEHOLD","Character","JWINBOARD","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Are any of the windows in this housing unit boarded up?","EBOARD","None","INTSTATUS in ('1' '2' '3') and BLD in ('01' '02' '03' '10')",
"WINBROKE",11,"Housing Problems",5,"Structural Problems",5,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating windows are broken","HOUSEHOLD","Character","JWINBROKE","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Are any of the windows in this housing unit broken?","EBROKE","None","INTSTATUS in ('1' '2' '3') and BLD in ('01' '02' '03' '10')",
"LEAKI",1,"Housing Problems",5,"Leaking and Mold",6,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating inside water leaks in last 12 months","HOUSEHOLD","Character","JLEAKI","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Did any inside water leaks happen within the past 12 months?","ILEAK2","None","INTSTATUS = '1'","Respondents were first asked ILEAK1 (Since you've lived here, did water leak in--from broken pipes or water heaters, backed up plumbing, another unit?), and if they replied yes, were then asked ILEAK2 (Did any inside water leaks happen within the past 12 months?). AHS began imputing LEAKI in 2017."
