Table,NAME,FMTName,Type,Value,Label,Flat,Metro
AHS2021,JOBTYPE16,JOBTYPE,C,18,Added or replaced doors or windows in home,YES,YES
AHS2021,JOBTYPE16,JOBTYPE,C,19,"Added or replaced chimney, stairs or other exterior addition",YES,YES
AHS2021,JOBTYPE16,JOBTYPE,C,20,Added or replaced insulation in home,YES,YES
AHS2021,JOBTYPE16,JOBTYPE,C,21,Added or replaced internal water pipes in home,YES,YES
AHS2021,JOBTYPE16,JOBTYPE,C,22,Added or replaced plumbing fixtures in home,YES,YES
AHS2021,JOBTYPE16,JOBTYPE,C,23,"Added or replaced electrical wiring, fuse boxes, or breaker switches in home",YES,YES
AHS2021,JOBTYPE16,JOBTYPE,C,24,Added or replaced security system in home,YES,YES
AHS2021,JOBTYPE16,JOBTYPE,C,25,"Added or replaced carpeting, flooring, paneling, or ceiling tiles",YES,YES
AHS2021,JOBTYPE16,JOBTYPE,C,26,Added or replaced central air conditioning,YES,YES
AHS2021,JOBTYPE16,JOBTYPE,C,27,Added or replaced built-in heating equipment,YES,YES
AHS2021,JOBTYPE16,JOBTYPE,C,28,Added or replaced septic tank,YES,YES
AHS2021,JOBTYPE16,JOBTYPE,C,29,Added or replaced water heater,YES,YES
AHS2021,JOBTYPE16,JOBTYPE,C,30,Added or replaced built-in dishwasher or garbage disposal,YES,YES
AHS2021,JOBTYPE16,JOBTYPE,C,31,Other major improvements or repairs inside home (up to three could be reported),YES,YES
AHS2021,JOBTYPE16,JOBTYPE,C,32,Added or replaced driveways or walkways,YES,YES
AHS2021,JOBTYPE16,JOBTYPE,C,33,Added or replaced fencing or walls,YES,YES
AHS2021,JOBTYPE16,JOBTYPE,C,34,"Added or replaced swimming pool, tennis court, or other recreational structure",YES,YES
AHS2021,JOBTYPE16,JOBTYPE,C,35,"Added or replaced shed, detached garage, or other building",YES,YES
AHS2021,JOBTYPE16,JOBTYPE,C,36,Added or replaced landscaping or sprinkler system,YES,YES
AHS2021,JOBTYPE16,JOBTYPE,C,37,Other major improvements or repairs to lot or yard (up to three could be reported),YES,YES
AHS2021,JOBTYPE17,JOBTYPE,C,01,Earthquake damage required extensive repairs to home,YES,YES
AHS2021,JOBTYPE17,JOBTYPE,C,02,"Tornado, hurricane, etc. damage required extensive repairs to home",YES,YES
AHS2021,JOBTYPE17,JOBTYPE,C,03,Landslide damage required extensive repairs to home,YES,YES
AHS2021,JOBTYPE17,JOBTYPE,C,04,Lightning or fire damage required extensive repairs to home,YES,YES
AHS2021,JOBTYPE17,JOBTYPE,C,05,Flood damage required extensive repairs to home,YES,YES
AHS2021,JOBTYPE17,JOBTYPE,C,06,Other natural disaster damage required extensive repairs to home,YES,YES
AHS2021,JOBTYPE17,JOBTYPE,C,07,Added bedroom onto home,YES,YES
AHS2021,JOBTYPE17,JOBTYPE,C,08,Added bathroom onto home,YES,YES
AHS2021,JOBTYPE17,JOBTYPE,C,09,Added recreation room onto home,YES,YES
AHS2021,JOBTYPE17,JOBTYPE,C,10,Added kitchen onto home,YES,YES
AHS2021,JOBTYPE17,JOBTYPE,C,11,Added other inside room onto home,YES,YES
AHS2021,JOBTYPE17,JOBTYPE,C,12,Bathroom remodeled,YES,YES
AHS2021,JOBTYPE17,JOBTYPE,C,13,Kitchen remodeled,YES,YES
AHS2021,JOBTYPE17,JOBTYPE,C,14,Attached garage or carport added to home,YES,YES
AHS2021,JOBTYPE17,JOBTYPE,C,15,"Porch, deck, patio, or terrace added to home",YES,YES
AHS2021,JOBTYPE17,JOBTYPE,C,16,Added or replaced roof over entire home,YES,YES
AHS2021,JOBTYPE17,JOBTYPE,C,17,Added or replaced siding on home,YES,YES
AHS2021,JOBTYPE17,JOBTYPE,C,18,Added or replaced doors or windows in home,YES,YES
AHS2021,JOBTYPE17,JOBTYPE,C,19,"Added or replaced chimney, stairs or other exterior addition",YES,YES
AHS2021,JOBTYPE17,JOBTYPE,C,20,Added or replaced insulation in home,YES,YES
AHS2021,JOBTYPE17,JOBTYPE,C,21,Added or replaced internal water pipes in home,YES,YES
AHS2021,JOBTYPE17,JOBTYPE,C,22,Added or replaced plumbing fixtures in home,YES,YES
AHS2021,JOBTYPE17,JOBTYPE,C,23,"Added or replaced electrical wiring, fuse boxes, or breaker switches in home",YES,YES
AHS2021,JOBTYPE17,JOBTYPE,C,24,Added or replaced security system in home,YES,YES
AHS2021,JOBTYPE17,JOBTYPE,C,25,"Added or replaced carpeting, flooring, paneling, or ceiling tiles",YES,YES
AHS2021,JOBTYPE17,JOBTYPE,C,26,Added or replaced central air conditioning,YES,YES
AHS2021,JOBTYPE17,JOBTYPE,C,27,Added or replaced built-in heating equipment,YES,YES
AHS2021,JOBTYPE17,JOBTYPE,C,28,Added or replaced septic tank,YES,YES
AHS2021,JOBTYPE17,JOBTYPE,C,29,Added or replaced water heater,YES,YES
AHS2021,JOBTYPE17,JOBTYPE,C,30,Added or replaced built-in dishwasher or garbage disposal,YES,YES
AHS2021,JOBTYPE17,JOBTYPE,C,31,Other major improvements or repairs inside home (up to three could be reported),YES,YES
AHS2021,JOBTYPE17,JOBTYPE,C,32,Added or replaced driveways or walkways,YES,YES
AHS2021,JOBTYPE17,JOBTYPE,C,33,Added or replaced fencing or walls,YES,YES
AHS2021,JOBTYPE17,JOBTYPE,C,34,"Added or replaced swimming pool, tennis court, or other recreational structure",YES,YES
AHS2021,JOBTYPE17,JOBTYPE,C,35,"Added or replaced shed, detached garage, or other building",YES,YES
AHS2021,JOBTYPE17,JOBTYPE,C,36,Added or replaced landscaping or sprinkler system,YES,YES
AHS2021,JOBTYPE17,JOBTYPE,C,37,Other major improvements or repairs to lot or yard (up to three could be reported),YES,YES
AHS2021,JOBTYPE18,JOBTYPE,C,01,Earthquake damage required extensive repairs to home,YES,YES
AHS2021,JOBTYPE18,JOBTYPE,C,02,"Tornado, hurricane, etc. damage required extensive repairs to home",YES,YES
AHS2021,JOBTYPE18,JOBTYPE,C,03,Landslide damage required extensive repairs to home,YES,YES
AHS2021,JOBTYPE18,JOBTYPE,C,04,Lightning or fire damage required extensive repairs to home,YES,YES
AHS2021,JOBTYPE18,JOBTYPE,C,05,Flood damage required extensive repairs to home,YES,YES
AHS2021,JOBTYPE18,JOBTYPE,C,06,Other natural disaster damage required extensive repairs to home,YES,YES
AHS2021,JOBTYPE18,JOBTYPE,C,07,Added bedroom onto home,YES,YES
AHS2021,JOBTYPE18,JOBTYPE,C,08,Added bathroom onto home,YES,YES
AHS2021,JOBTYPE18,JOBTYPE,C,09,Added recreation room onto home,YES,YES
AHS2021,JOBTYPE18,JOBTYPE,C,10,Added kitchen onto home,YES,YES
AHS2021,JOBTYPE18,JOBTYPE,C,11,Added other inside room onto home,YES,YES
AHS2021,JOBTYPE18,JOBTYPE,C,12,Bathroom remodeled,YES,YES
AHS2021,JOBTYPE18,JOBTYPE,C,13,Kitchen remodeled,YES,YES
AHS2021,JOBTYPE18,JOBTYPE,C,14,Attached garage or carport added to home,YES,YES
AHS2021,JOBTYPE18,JOBTYPE,C,15,"Porch, deck, patio, or terrace added to home",YES,YES
AHS2021,JOBTYPE18,JOBTYPE,C,16,Added or replaced roof over entire home,YES,YES
AHS2021,JOBTYPE18,JOBTYPE,C,17,Added or replaced siding on home,YES,YES
AHS2021,JOBTYPE18,JOBTYPE,C,18,Added or replaced doors or windows in home,YES,YES
AHS2021,JOBTYPE18,JOBTYPE,C,19,"Added or replaced chimney, stairs or other exterior addition",YES,YES
AHS2021,JOBTYPE18,JOBTYPE,C,20,Added or replaced insulation in home,YES,YES
AHS2021,JOBTYPE18,JOBTYPE,C,21,Added or replaced internal water pipes in home,YES,YES
AHS2021,JOBTYPE18,JOBTYPE,C,22,Added or replaced plumbing fixtures in home,YES,YES
AHS2021,JOBTYPE18,JOBTYPE,C,23,"Added or replaced electrical wiring, fuse boxes, or breaker switches in home",YES,YES
AHS2021,JOBTYPE18,JOBTYPE,C,24,Added or replaced security system in home,YES,YES
AHS2021,JOBTYPE18,JOBTYPE,C,25,"Added or replaced carpeting, flooring, paneling, or ceiling tiles",YES,YES
AHS2021,JOBTYPE18,JOBTYPE,C,26,Added or replaced central air conditioning,YES,YES
AHS2021,JOBTYPE18,JOBTYPE,C,27,Added or replaced built-in heating equipment,YES,YES
AHS2021,JOBTYPE18,JOBTYPE,C,28,Added or replaced septic tank,YES,YES
AHS2021,JOBTYPE18,JOBTYPE,C,29,Added or replaced water heater,YES,YES
AHS2021,JOBTYPE18,JOBTYPE,C,30,Added or replaced built-in dishwasher or garbage disposal,YES,YES
AHS2021,JOBTYPE18,JOBTYPE,C,31,Other major improvements or repairs inside home (up to three could be reported),YES,YES
AHS2021,JOBTYPE18,JOBTYPE,C,32,Added or replaced driveways or walkways,YES,YES
AHS2021,JOBTYPE18,JOBTYPE,C,33,Added or replaced fencing or walls,YES,YES
AHS2021,JOBTYPE18,JOBTYPE,C,34,"Added or replaced swimming pool, tennis court, or other recreational structure",YES,YES
AHS2021,JOBTYPE18,JOBTYPE,C,35,"Added or replaced shed, detached garage, or other building",YES,YES
AHS2021,JOBTYPE18,JOBTYPE,C,36,Added or replaced landscaping or sprinkler system,YES,YES
AHS2021,JOBTYPE18,JOBTYPE,C,37,Other major improvements or repairs to lot or yard (up to three could be reported),YES,YES
AHS2021,JOBTYPE19,JOBTYPE,C,01,Earthquake damage required extensive repairs to home,YES,YES
AHS2021,JOBTYPE19,JOBTYPE,C,02,"Tornado, hurricane, etc. damage required extensive repairs to home",YES,YES
AHS2021,JOBTYPE19,JOBTYPE,C,03,Landslide damage required extensive repairs to home,YES,YES
AHS2021,JOBTYPE19,JOBTYPE,C,04,Lightning or fire damage required extensive repairs to home,YES,YES
AHS2021,JOBTYPE19,JOBTYPE,C,05,Flood damage required extensive repairs to home,YES,YES
AHS2021,JOBTYPE19,JOBTYPE,C,06,Other natural disaster damage required extensive repairs to home,YES,YES
AHS2021,JOBTYPE19,JOBTYPE,C,07,Added bedroom onto home,YES,YES
AHS2021,JOBTYPE19,JOBTYPE,C,08,Added bathroom onto home,YES,YES
AHS2021,JOBTYPE19,JOBTYPE,C,09,Added recreation room onto home,YES,YES
AHS2021,JOBTYPE19,JOBTYPE,C,10,Added kitchen onto home,YES,YES
AHS2021,JOBTYPE19,JOBTYPE,C,11,Added other inside room onto home,YES,YES
AHS2021,JOBTYPE19,JOBTYPE,C,12,Bathroom remodeled,YES,YES
AHS2021,JOBTYPE19,JOBTYPE,C,13,Kitchen remodeled,YES,YES
AHS2021,JOBTYPE19,JOBTYPE,C,14,Attached garage or carport added to home,YES,YES
AHS2021,JOBTYPE19,JOBTYPE,C,15,"Porch, deck, patio, or terrace added to home",YES,YES
AHS2021,JOBTYPE19,JOBTYPE,C,16,Added or replaced roof over entire home,YES,YES
AHS2021,JOBTYPE19,JOBTYPE,C,17,Added or replaced siding on home,YES,YES
AHS2021,JOBTYPE19,JOBTYPE,C,18,Added or replaced doors or windows in home,YES,YES
AHS2021,JOBTYPE19,JOBTYPE,C,19,"Added or replaced chimney, stairs or other exterior addition",YES,YES
AHS2021,JOBTYPE19,JOBTYPE,C,20,Added or replaced insulation in home,YES,YES
AHS2021,JOBTYPE19,JOBTYPE,C,21,Added or replaced internal water pipes in home,YES,YES
AHS2021,JOBTYPE19,JOBTYPE,C,22,Added or replaced plumbing fixtures in home,YES,YES
AHS2021,JOBTYPE19,JOBTYPE,C,23,"Added or replaced electrical wiring, fuse boxes, or breaker switches in home",YES,YES
AHS2021,JOBTYPE19,JOBTYPE,C,24,Added or replaced security system in home,YES,YES
AHS2021,JOBTYPE19,JOBTYPE,C,25,"Added or replaced carpeting, flooring, paneling, or ceiling tiles",YES,YES
AHS2021,JOBTYPE19,JOBTYPE,C,26,Added or replaced central air conditioning,YES,YES
AHS2021,JOBTYPE19,JOBTYPE,C,27,Added or replaced built-in heating equipment,YES,YES
AHS2021,JOBTYPE19,JOBTYPE,C,28,Added or replaced septic tank,YES,YES
AHS2021,JOBTYPE19,JOBTYPE,C,29,Added or replaced water heater,YES,YES
AHS2021,JOBTYPE19,JOBTYPE,C,30,Added or replaced built-in dishwasher or garbage disposal,YES,YES
AHS2021,JOBTYPE19,JOBTYPE,C,31,Other major improvements or repairs inside home (up to three could be reported),YES,YES
AHS2021,JOBTYPE19,JOBTYPE,C,32,Added or replaced driveways or walkways,YES,YES
AHS2021,JOBTYPE19,JOBTYPE,C,33,Added or replaced fencing or walls,YES,YES
AHS2021,JOBTYPE19,JOBTYPE,C,34,"Added or replaced swimming pool, tennis court, or other recreational structure",YES,YES
AHS2021,JOBTYPE19,JOBTYPE,C,35,"Added or replaced shed, detached garage, or other building",YES,YES
AHS2021,JOBTYPE19,JOBTYPE,C,36,Added or replaced landscaping or sprinkler system,YES,YES
AHS2021,JOBTYPE19,JOBTYPE,C,37,Other major improvements or repairs to lot or yard (up to three could be reported),YES,YES
AHS2021,JOBTYPE2,JOBTYPE,C,01,Earthquake damage required extensive repairs to home,YES,YES
AHS2021,JOBTYPE2,JOBTYPE,C,02,"Tornado, hurricane, etc. damage required extensive repairs to home",YES,YES
AHS2021,JOBTYPE2,JOBTYPE,C,03,Landslide damage required extensive repairs to home,YES,YES
AHS2021,JOBTYPE2,JOBTYPE,C,04,Lightning or fire damage required extensive repairs to home,YES,YES
AHS2021,JOBTYPE2,JOBTYPE,C,05,Flood damage required extensive repairs to home,YES,YES
AHS2021,JOBTYPE2,JOBTYPE,C,06,Other natural disaster damage required extensive repairs to home,YES,YES
AHS2021,JOBTYPE2,JOBTYPE,C,07,Added bedroom onto home,YES,YES
AHS2021,JOBTYPE2,JOBTYPE,C,08,Added bathroom onto home,YES,YES
AHS2021,JOBTYPE2,JOBTYPE,C,09,Added recreation room onto home,YES,YES
AHS2021,JOBTYPE2,JOBTYPE,C,10,Added kitchen onto home,YES,YES
AHS2021,JOBTYPE2,JOBTYPE,C,11,Added other inside room onto home,YES,YES
AHS2021,JOBTYPE2,JOBTYPE,C,12,Bathroom remodeled,YES,YES
AHS2021,JOBTYPE2,JOBTYPE,C,13,Kitchen remodeled,YES,YES
AHS2021,JOBTYPE2,JOBTYPE,C,14,Attached garage or carport added to home,YES,YES
AHS2021,JOBTYPE2,JOBTYPE,C,15,"Porch, deck, patio, or terrace added to home",YES,YES
AHS2021,JOBTYPE2,JOBTYPE,C,16,Added or replaced roof over entire home,YES,YES
AHS2021,JOBTYPE2,JOBTYPE,C,17,Added or replaced siding on home,YES,YES
AHS2021,JOBTYPE2,JOBTYPE,C,18,Added or replaced doors or windows in home,YES,YES
AHS2021,JOBTYPE2,JOBTYPE,C,19,"Added or replaced chimney, stairs or other exterior addition",YES,YES
AHS2021,JOBTYPE2,JOBTYPE,C,20,Added or replaced insulation in home,YES,YES
AHS2021,JOBTYPE2,JOBTYPE,C,21,Added or replaced internal water pipes in home,YES,YES
AHS2021,JOBTYPE2,JOBTYPE,C,22,Added or replaced plumbing fixtures in home,YES,YES
AHS2021,JOBTYPE2,JOBTYPE,C,23,"Added or replaced electrical wiring, fuse boxes, or breaker switches in home",YES,YES
AHS2021,JOBTYPE2,JOBTYPE,C,24,Added or replaced security system in home,YES,YES
AHS2021,JOBTYPE2,JOBTYPE,C,25,"Added or replaced carpeting, flooring, paneling, or ceiling tiles",YES,YES
AHS2021,JOBTYPE2,JOBTYPE,C,26,Added or replaced central air conditioning,YES,YES
AHS2021,JOBTYPE2,JOBTYPE,C,27,Added or replaced built-in heating equipment,YES,YES
AHS2021,JOBTYPE2,JOBTYPE,C,28,Added or replaced septic tank,YES,YES
AHS2021,JOBTYPE2,JOBTYPE,C,29,Added or replaced water heater,YES,YES
AHS2021,JOBTYPE2,JOBTYPE,C,30,Added or replaced built-in dishwasher or garbage disposal,YES,YES
AHS2021,JOBTYPE2,JOBTYPE,C,31,Other major improvements or repairs inside home (up to three could be reported),YES,YES
AHS2021,JOBTYPE2,JOBTYPE,C,32,Added or replaced driveways or walkways,YES,YES
AHS2021,JOBTYPE2,JOBTYPE,C,33,Added or replaced fencing or walls,YES,YES
AHS2021,JOBTYPE2,JOBTYPE,C,34,"Added or replaced swimming pool, tennis court, or other recreational structure",YES,YES
AHS2021,JOBTYPE2,JOBTYPE,C,35,"Added or replaced shed, detached garage, or other building",YES,YES
AHS2021,JOBTYPE2,JOBTYPE,C,36,Added or replaced landscaping or sprinkler system,YES,YES
AHS2021,JOBTYPE2,JOBTYPE,C,37,Other major improvements or repairs to lot or yard (up to three could be reported),YES,YES
AHS2021,JOBTYPE20,JOBTYPE,C,01,Earthquake damage required extensive repairs to home,YES,YES
AHS2021,JOBTYPE20,JOBTYPE,C,02,"Tornado, hurricane, etc. damage required extensive repairs to home",YES,YES
AHS2021,JOBTYPE20,JOBTYPE,C,03,Landslide damage required extensive repairs to home,YES,YES
AHS2021,JOBTYPE20,JOBTYPE,C,04,Lightning or fire damage required extensive repairs to home,YES,YES
AHS2021,JOBTYPE20,JOBTYPE,C,05,Flood damage required extensive repairs to home,YES,YES
AHS2021,JOBTYPE20,JOBTYPE,C,06,Other natural disaster damage required extensive repairs to home,YES,YES
AHS2021,JOBTYPE20,JOBTYPE,C,07,Added bedroom onto home,YES,YES
AHS2021,JOBTYPE20,JOBTYPE,C,08,Added bathroom onto home,YES,YES
AHS2021,JOBTYPE20,JOBTYPE,C,09,Added recreation room onto home,YES,YES
AHS2021,JOBTYPE20,JOBTYPE,C,10,Added kitchen onto home,YES,YES
AHS2021,JOBTYPE20,JOBTYPE,C,11,Added other inside room onto home,YES,YES
AHS2021,JOBTYPE20,JOBTYPE,C,12,Bathroom remodeled,YES,YES
AHS2021,JOBTYPE20,JOBTYPE,C,13,Kitchen remodeled,YES,YES
AHS2021,JOBTYPE20,JOBTYPE,C,14,Attached garage or carport added to home,YES,YES
AHS2021,JOBTYPE20,JOBTYPE,C,15,"Porch, deck, patio, or terrace added to home",YES,YES
AHS2021,JOBTYPE20,JOBTYPE,C,16,Added or replaced roof over entire home,YES,YES
AHS2021,JOBTYPE20,JOBTYPE,C,17,Added or replaced siding on home,YES,YES
AHS2021,JOBTYPE20,JOBTYPE,C,18,Added or replaced doors or windows in home,YES,YES
AHS2021,JOBTYPE20,JOBTYPE,C,19,"Added or replaced chimney, stairs or other exterior addition",YES,YES
AHS2021,JOBTYPE20,JOBTYPE,C,20,Added or replaced insulation in home,YES,YES
AHS2021,JOBTYPE20,JOBTYPE,C,21,Added or replaced internal water pipes in home,YES,YES
AHS2021,JOBTYPE20,JOBTYPE,C,22,Added or replaced plumbing fixtures in home,YES,YES
AHS2021,JOBTYPE20,JOBTYPE,C,23,"Added or replaced electrical wiring, fuse boxes, or breaker switches in home",YES,YES
AHS2021,JOBTYPE20,JOBTYPE,C,24,Added or replaced security system in home,YES,YES
AHS2021,JOBTYPE20,JOBTYPE,C,25,"Added or replaced carpeting, flooring, paneling, or ceiling tiles",YES,YES
AHS2021,JOBTYPE20,JOBTYPE,C,26,Added or replaced central air conditioning,YES,YES
AHS2021,JOBTYPE20,JOBTYPE,C,27,Added or replaced built-in heating equipment,YES,YES
AHS2021,JOBTYPE20,JOBTYPE,C,28,Added or replaced septic tank,YES,YES
AHS2021,JOBTYPE20,JOBTYPE,C,29,Added or replaced water heater,YES,YES
AHS2021,JOBTYPE20,JOBTYPE,C,30,Added or replaced built-in dishwasher or garbage disposal,YES,YES
AHS2021,JOBTYPE20,JOBTYPE,C,31,Other major improvements or repairs inside home (up to three could be reported),YES,YES
AHS2021,JOBTYPE20,JOBTYPE,C,32,Added or replaced driveways or walkways,YES,YES
AHS2021,JOBTYPE20,JOBTYPE,C,33,Added or replaced fencing or walls,YES,YES
AHS2021,JOBTYPE20,JOBTYPE,C,34,"Added or replaced swimming pool, tennis court, or other recreational structure",YES,YES
AHS2021,JOBTYPE20,JOBTYPE,C,35,"Added or replaced shed, detached garage, or other building",YES,YES
AHS2021,JOBTYPE20,JOBTYPE,C,36,Added or replaced landscaping or sprinkler system,YES,YES
AHS2021,JOBTYPE20,JOBTYPE,C,37,Other major improvements or repairs to lot or yard (up to three could be reported),YES,YES
AHS2021,JOBTYPE21,JOBTYPE,C,01,Earthquake damage required extensive repairs to home,YES,YES
AHS2021,JOBTYPE21,JOBTYPE,C,02,"Tornado, hurricane, etc. damage required extensive repairs to home",YES,YES
AHS2021,JOBTYPE21,JOBTYPE,C,03,Landslide damage required extensive repairs to home,YES,YES
AHS2021,JOBTYPE21,JOBTYPE,C,04,Lightning or fire damage required extensive repairs to home,YES,YES
AHS2021,JOBTYPE21,JOBTYPE,C,05,Flood damage required extensive repairs to home,YES,YES
AHS2021,JOBTYPE21,JOBTYPE,C,06,Other natural disaster damage required extensive repairs to home,YES,YES
AHS2021,JOBTYPE21,JOBTYPE,C,07,Added bedroom onto home,YES,YES
AHS2021,JOBTYPE21,JOBTYPE,C,08,Added bathroom onto home,YES,YES
AHS2021,JOBTYPE21,JOBTYPE,C,09,Added recreation room onto home,YES,YES
AHS2021,JOBTYPE21,JOBTYPE,C,10,Added kitchen onto home,YES,YES
AHS2021,JOBTYPE21,JOBTYPE,C,11,Added other inside room onto home,YES,YES
AHS2021,JOBTYPE21,JOBTYPE,C,12,Bathroom remodeled,YES,YES
AHS2021,JOBTYPE21,JOBTYPE,C,13,Kitchen remodeled,YES,YES
AHS2021,JOBTYPE21,JOBTYPE,C,14,Attached garage or carport added to home,YES,YES
AHS2021,JOBTYPE21,JOBTYPE,C,15,"Porch, deck, patio, or terrace added to home",YES,YES
AHS2021,JOBTYPE21,JOBTYPE,C,16,Added or replaced roof over entire home,YES,YES
AHS2021,JOBTYPE21,JOBTYPE,C,17,Added or replaced siding on home,YES,YES
AHS2021,JOBTYPE21,JOBTYPE,C,18,Added or replaced doors or windows in home,YES,YES
AHS2021,JOBTYPE21,JOBTYPE,C,19,"Added or replaced chimney, stairs or other exterior addition",YES,YES
AHS2021,JOBTYPE21,JOBTYPE,C,20,Added or replaced insulation in home,YES,YES
AHS2021,JOBTYPE21,JOBTYPE,C,21,Added or replaced internal water pipes in home,YES,YES
AHS2021,JOBTYPE21,JOBTYPE,C,22,Added or replaced plumbing fixtures in home,YES,YES
AHS2021,JOBTYPE21,JOBTYPE,C,23,"Added or replaced electrical wiring, fuse boxes, or breaker switches in home",YES,YES
AHS2021,JOBTYPE21,JOBTYPE,C,24,Added or replaced security system in home,YES,YES
AHS2021,JOBTYPE21,JOBTYPE,C,25,"Added or replaced carpeting, flooring, paneling, or ceiling tiles",YES,YES
AHS2021,JOBTYPE21,JOBTYPE,C,26,Added or replaced central air conditioning,YES,YES
AHS2021,JOBTYPE21,JOBTYPE,C,27,Added or replaced built-in heating equipment,YES,YES
AHS2021,JOBTYPE21,JOBTYPE,C,28,Added or replaced septic tank,YES,YES
AHS2021,JOBTYPE21,JOBTYPE,C,29,Added or replaced water heater,YES,YES
AHS2021,JOBTYPE21,JOBTYPE,C,30,Added or replaced built-in dishwasher or garbage disposal,YES,YES
AHS2021,JOBTYPE21,JOBTYPE,C,31,Other major improvements or repairs inside home (up to three could be reported),YES,YES
AHS2021,JOBTYPE21,JOBTYPE,C,32,Added or replaced driveways or walkways,YES,YES
AHS2021,JOBTYPE21,JOBTYPE,C,33,Added or replaced fencing or walls,YES,YES
AHS2021,JOBTYPE21,JOBTYPE,C,34,"Added or replaced swimming pool, tennis court, or other recreational structure",YES,YES
AHS2021,JOBTYPE21,JOBTYPE,C,35,"Added or replaced shed, detached garage, or other building",YES,YES
AHS2021,JOBTYPE21,JOBTYPE,C,36,Added or replaced landscaping or sprinkler system,YES,YES
AHS2021,JOBTYPE21,JOBTYPE,C,37,Other major improvements or repairs to lot or yard (up to three could be reported),YES,YES
AHS2021,JOBTYPE22,JOBTYPE,C,01,Earthquake damage required extensive repairs to home,YES,YES
AHS2021,JOBTYPE22,JOBTYPE,C,02,"Tornado, hurricane, etc. damage required extensive repairs to home",YES,YES
AHS2021,JOBTYPE22,JOBTYPE,C,03,Landslide damage required extensive repairs to home,YES,YES
AHS2021,JOBTYPE22,JOBTYPE,C,04,Lightning or fire damage required extensive repairs to home,YES,YES
AHS2021,JOBTYPE22,JOBTYPE,C,05,Flood damage required extensive repairs to home,YES,YES
AHS2021,JOBTYPE22,JOBTYPE,C,06,Other natural disaster damage required extensive repairs to home,YES,YES
AHS2021,JOBTYPE22,JOBTYPE,C,07,Added bedroom onto home,YES,YES
AHS2021,JOBTYPE22,JOBTYPE,C,08,Added bathroom onto home,YES,YES
AHS2021,JOBTYPE22,JOBTYPE,C,09,Added recreation room onto home,YES,YES
AHS2021,JOBTYPE22,JOBTYPE,C,10,Added kitchen onto home,YES,YES
AHS2021,JOBTYPE22,JOBTYPE,C,11,Added other inside room onto home,YES,YES
AHS2021,JOBTYPE22,JOBTYPE,C,12,Bathroom remodeled,YES,YES
AHS2021,JOBTYPE22,JOBTYPE,C,13,Kitchen remodeled,YES,YES
AHS2021,JOBTYPE22,JOBTYPE,C,14,Attached garage or carport added to home,YES,YES
AHS2021,JOBTYPE22,JOBTYPE,C,15,"Porch, deck, patio, or terrace added to home",YES,YES
AHS2021,JOBTYPE22,JOBTYPE,C,16,Added or replaced roof over entire home,YES,YES
AHS2021,JOBTYPE22,JOBTYPE,C,17,Added or replaced siding on home,YES,YES
AHS2021,JOBTYPE22,JOBTYPE,C,18,Added or replaced doors or windows in home,YES,YES
AHS2021,JOBTYPE22,JOBTYPE,C,19,"Added or replaced chimney, stairs or other exterior addition",YES,YES
AHS2021,JOBTYPE22,JOBTYPE,C,20,Added or replaced insulation in home,YES,YES
AHS2021,JOBTYPE22,JOBTYPE,C,21,Added or replaced internal water pipes in home,YES,YES
AHS2021,JOBTYPE22,JOBTYPE,C,22,Added or replaced plumbing fixtures in home,YES,YES
AHS2021,JOBTYPE22,JOBTYPE,C,23,"Added or replaced electrical wiring, fuse boxes, or breaker switches in home",YES,YES
AHS2021,JOBTYPE22,JOBTYPE,C,24,Added or replaced security system in home,YES,YES
AHS2021,JOBTYPE22,JOBTYPE,C,25,"Added or replaced carpeting, flooring, paneling, or ceiling tiles",YES,YES
AHS2021,JOBTYPE22,JOBTYPE,C,26,Added or replaced central air conditioning,YES,YES
AHS2021,JOBTYPE22,JOBTYPE,C,27,Added or replaced built-in heating equipment,YES,YES
AHS2021,JOBTYPE22,JOBTYPE,C,28,Added or replaced septic tank,YES,YES
AHS2021,JOBTYPE22,JOBTYPE,C,29,Added or replaced water heater,YES,YES
AHS2021,JOBTYPE22,JOBTYPE,C,30,Added or replaced built-in dishwasher or garbage disposal,YES,YES
AHS2021,JOBTYPE22,JOBTYPE,C,31,Other major improvements or repairs inside home (up to three could be reported),YES,YES
AHS2021,JOBTYPE22,JOBTYPE,C,32,Added or replaced driveways or walkways,YES,YES
AHS2021,JOBTYPE22,JOBTYPE,C,33,Added or replaced fencing or walls,YES,YES
AHS2021,JOBTYPE22,JOBTYPE,C,34,"Added or replaced swimming pool, tennis court, or other recreational structure",YES,YES
AHS2021,JOBTYPE22,JOBTYPE,C,35,"Added or replaced shed, detached garage, or other building",YES,YES
AHS2021,JOBTYPE22,JOBTYPE,C,36,Added or replaced landscaping or sprinkler system,YES,YES
AHS2021,JOBTYPE22,JOBTYPE,C,37,Other major improvements or repairs to lot or yard (up to three could be reported),YES,YES
AHS2021,JOBTYPE23,JOBTYPE,C,01,Earthquake damage required extensive repairs to home,YES,YES
AHS2021,JOBTYPE23,JOBTYPE,C,02,"Tornado, hurricane, etc. damage required extensive repairs to home",YES,YES
AHS2021,JOBTYPE23,JOBTYPE,C,03,Landslide damage required extensive repairs to home,YES,YES
AHS2021,JOBTYPE23,JOBTYPE,C,04,Lightning or fire damage required extensive repairs to home,YES,YES
